Sweep	Chain_1	Chain_2	Chain_3	
24883	-21929.2602972	-21932.02364879	-21955.06773896	
24884	-21929.25029301	-21932.01308497	-21954.43955005	
24885	-21929.25029301	-21932.01308497	-21954.43955005	
24886	-21929.25029301	-21932.01308497	-21954.43955005	
24887	-21930.0245524	-21938.54351931	-21965.42968076	
24888	-21929.30124685	-21948.85339729	-21944.80495027	
24889	-21929.30124685	-21936.06573105	-21946.95605978	
24890	-21934.44917449	-21941.05447252	-21953.69022809	
24891	-21934.54722166	-21941.30680882	-21954.40369503	
24892	-21932.02051637	-21944.38464982	-21954.52763678	
24893	-21932.34463446	-21935.84388045	-21950.38081615	
24894	-21932.24189828	-21930.29613429	-21937.30181026	
24895	-21934.35576139	-21934.41606017	-21935.16570459	
24896	-21934.35576139	-21934.41606017	-21935.16570459	
24897	-21934.35576139	-21934.41606017	-21935.16570459	
24898	-21934.35576139	-21935.16570459	-21934.41606017	
24899	-21934.35912248	-21935.16900035	-21934.41941639	
24900	-21929.31125711	-21930.1289701	-21932.07369245	
24901	-21930.1289701	-21929.31125711	-21932.07369245	
24902	-21930.07804625	-21929.26006237	-21932.02341255	
24903	-21930.07804625	-21932.02341255	-21934.16714477	
24904	-21930.07804625	-21934.16714477	-21932.02341255	
24905	-21930.13902725	-21932.08456552	-21934.29327339	
24906	-21930.13902725	-21939.42582521	-21944.90035996	
24907	-21930.06427052	-21945.93940877	-21967.3463401	
24908	-21930.06427052	-21945.93940877	-21967.3463401	
24909	-21930.06427052	-21945.93940877	-21967.3463401	
24910	-21930.06427052	-21936.98914634	-21940.47026168	
24911	-21930.06427052	-21936.98914634	-21940.47026168	
24912	-21930.06427052	-21936.98914634	-21940.47026168	
24913	-21930.06427052	-21935.35917256	-21949.81604067	
24914	-21930.06427052	-21935.35917256	-21949.81604067	
24915	-21930.06427052	-21935.35917256	-21949.81604067	
24916	-21930.2848601	-21935.76496279	-21950.77732024	
24917	-21930.2848601	-21930.2848601	-21944.86060571	
24918	-21930.2848601	-21930.2848601	-21950.39122522	
24919	-21930.88999991	-21930.88999991	-21951.96233101	
24920	-21930.88999991	-21936.5406575	-21936.56415428	
24921	-21930.88999991	-21936.5406575	-21946.32602224	
24922	-21935.35712159	-21930.43033299	-21943.69582912	
24923	-21930.43033299	-21935.35712159	-21943.69582912	
24924	-21930.24657438	-21935.63426825	-21944.89393538	
24925	-21930.24657438	-21930.24657438	-21947.00929661	
24926	-21930.75827853	-21930.75827853	-21945.73603722	
24927	-21930.36115923	-21930.36115923	-21949.46835779	
24928	-21930.36115923	-21930.36115923	-21949.46835779	
24929	-21930.36115923	-21930.36115923	-21949.46835779	
24930	-21930.05407472	-21930.05407472	-21950.09624514	
24931	-21930.56862431	-21930.56862431	-21949.43253832	
24932	-21930.56862431	-21929.75126527	-21945.74200748	
24933	-21931.21940383	-21934.82343856	-21957.85104558	
24934	-21930.67677625	-21935.09401096	-21959.77309102	
24935	-21930.67677625	-21945.96865879	-21966.02176358	
24936	-21930.67677625	-21945.96865879	-21966.02176358	
24937	-21930.67677625	-21946.62122088	-21951.45290399	
24938	-21930.15362963	-21949.92388181	-21945.34363329	
24939	-21930.15362963	-21949.92388181	-21945.34363329	
24940	-21930.15362963	-21934.31964377	-21944.40812005	
24941	-21930.15362963	-21934.31964377	-21944.40812005	
24942	-21930.15362963	-21934.31964377	-21944.40812005	
24943	-21930.15362963	-21934.31964377	-21944.40812005	
24944	-21930.94424087	-21935.45218981	-21946.22522549	
24945	-21929.45254051	-21930.27067986	-21963.32338523	
24946	-21929.45254051	-21930.27067986	-21963.32338523	
24947	-21930.27067986	-21929.45254051	-21963.32338523	
24948	-21930.27067986	-21934.87166272	-21956.35873912	
24949	-21929.45254051	-21935.74303084	-21956.35873912	
24950	-21935.74303084	-21929.45254051	-21956.35873912	
24951	-21933.41171957	-21936.12707427	-21959.15661771	
24952	-21933.41171957	-21936.12707427	-21959.15661771	
24953	-21930.64700719	-21938.16675436	-21959.15661771	
24954	-21930.79225722	-21938.351547	-21959.46002733	
24955	-21929.96161326	-21932.72599787	-21941.08613482	
24956	-21929.96161326	-21938.39752807	-21946.4852663	
24957	-21929.96161326	-21938.39752807	-21946.4852663	
24958	-21929.96161326	-21938.39752807	-21946.4852663	
24959	-21929.96161326	-21938.39752807	-21941.11074882	
24960	-21929.96161326	-21940.79978921	-21946.29119216	
24961	-21929.40786153	-21945.02225097	-21939.76928828	
24962	-21929.23696894	-21939.23079098	-21944.29987438	
24963	-21930.54359937	-21935.34819336	-21940.44457344	
24964	-21930.1215477	-21930.33943918	-21941.23653317	
24965	-21930.1215477	-21930.33943918	-21935.84766402	
24966	-21930.33943918	-21930.1215477	-21935.84766402	
24967	-21930.33943918	-21930.1215477	-21935.84766402	
24968	-21930.33943918	-21935.90328083	-21941.99725047	
24969	-21930.33943918	-21935.83951602	-21948.26201878	
24970	-21930.33943918	-21930.33943918	-21947.09276733	
24971	-21930.33943918	-21934.79616906	-21932.28524676	
24972	-21930.24273805	-21930.02485836	-21942.65148483	
24973	-21930.22059172	-21930.00271528	-21942.60257432	
24974	-21930.25487605	-21930.03699468	-21942.67771553	
24975	-21930.25487605	-21935.47643594	-21951.31265857	
24976	-21930.25487605	-21935.47643594	-21946.3515913	
24977	-21930.17807755	-21935.03558639	-21945.18210415	
24978	-21930.17807755	-21934.22650335	-21947.53411248	
24979	-21930.17807755	-21934.22650335	-21947.53411248	
24980	-21930.17807755	-21929.9603228	-21944.24501711	
24981	-21929.9603228	-21930.17807755	-21948.44375942	
24982	-21929.9603228	-21930.17807755	-21935.10204995	
24983	-21930.09715145	-21935.81113717	-21950.49854571	
24984	-21930.09715145	-21935.81113717	-21950.49854571	
24985	-21930.27919504	-21936.07625126	-21951.01275421	
24986	-21932.44303565	-21930.27919504	-21951.94371579	
24987	-21935.76663815	-21932.44303565	-21948.11863454	
24988	-21932.44303565	-21935.76663815	-21948.11863454	
24989	-21932.03482625	-21934.94701044	-21946.47275269	
24990	-21932.22389422	-21935.44516483	-21947.59189088	
24991	-21932.22389422	-21949.00041204	-21940.02270923	
24992	-21932.22389422	-21944.47231553	-21961.3556835	
24993	-21933.74367846	-21932.22389422	-21945.71213019	
24994	-21935.44432793	-21942.71121333	-21939.71035527	
24995	-21930.06026549	-21935.75461038	-21940.80772175	
24996	-21930.03928503	-21935.63067206	-21954.3521847	
24997	-21930.03928503	-21935.63067206	-21954.3521847	
24998	-21930.03928503	-21935.72192701	-21944.97934846	
24999	-21930.03928503	-21935.72192701	-21944.97934846	
25000	-21930.3012495	-21937.60731436	-21940.23811213	
25001	-21930.3012495	-21937.60731436	-21940.23811213	
25002	-21930.3012495	-21937.60731436	-21940.23811213	
25003	-21929.83835748	-21939.05541998	-21936.7835179	
25004	-21929.83835748	-21934.43572996	-21943.85886752	
25005	-21929.83835748	-21934.89825996	-21943.5950187	
25006	-21930.45616032	-21930.45616032	-21951.09844245	
25007	-21930.45616032	-21936.01114722	-21956.20360948	
25008	-21929.86841945	-21934.94671808	-21953.23272074	
25009	-21935.10275087	-21947.88875344	-21943.07010519	
25010	-21929.90312355	-21940.36161898	-21929.30294096	
25011	-21929.26640803	-21940.24450905	-21929.86655765	
25012	-21929.26640803	-21929.86655765	-21940.24450905	
25013	-21929.86655765	-21940.24450905	-21929.26640803	
25014	-21934.95154695	-21934.14707354	-21944.14726636	
25015	-21930.4798802	-21939.15268199	-21954.05787627	
25016	-21930.42994119	-21940.23618252	-21956.84443429	
25017	-21930.41480235	-21935.78302053	-21943.30007639	
25018	-21930.41480235	-21941.33561744	-21940.53549467	
25019	-21930.20901286	-21940.1140387	-21940.91407247	
25020	-21930.05398383	-21940.37985956	-21939.58003723	
25021	-21930.11275815	-21930.11275815	-21954.10142109	
25022	-21930.39147402	-21930.39147402	-21955.23880445	
25023	-21930.715254	-21936.2861815	-21956.75460026	
25024	-21930.715254	-21936.43043272	-21951.50879672	
25025	-21931.06417937	-21936.89386714	-21952.08744972	
25026	-21931.51171942	-21942.76506278	-21956.83904804	
25027	-21931.51171942	-21931.51171942	-21958.59851379	
25028	-21930.29759552	-21930.29759552	-21965.59761975	
25029	-21930.06314849	-21930.06314849	-21963.95783109	
25030	-21930.06314849	-21930.06314849	-21963.95783109	
25031	-21930.06314849	-21930.06314849	-21957.1802773	
25032	-21930.06314849	-21930.06314849	-21957.1802773	
25033	-21930.06314849	-21930.06314849	-21957.1802773	
25034	-21930.30277279	-21930.30277279	-21958.27375836	
25035	-21931.88986745	-21931.88986745	-21961.41300058	
25036	-21931.88986745	-21937.85147263	-21966.38623557	
25037	-21931.88986745	-21931.88986745	-21956.06616683	
25038	-21931.88986745	-21931.88986745	-21956.06616683	
25039	-21931.88986745	-21931.88986745	-21956.06616683	
25040	-21931.88986745	-21931.0714423	-21961.87114069	
25041	-21929.33524952	-21930.15331758	-21960.12157693	
25042	-21929.49905682	-21930.31721719	-21960.28884038	
25043	-21929.49905682	-21930.31721719	-21960.28884038	
25044	-21929.49905682	-21930.31721719	-21960.28884038	
25045	-21930.31721719	-21929.49905682	-21960.28884038	
25046	-21930.31721719	-21929.49905682	-21960.28884038	
25047	-21929.49905682	-21930.31721719	-21960.28884038	
25048	-21929.49905682	-21935.76681552	-21968.68621397	
25049	-21929.49905682	-21935.76681552	-21968.68621397	
25050	-21929.30917908	-21930.12689478	-21967.6958026	
25051	-21929.30917908	-21930.12689478	-21967.6958026	
25052	-21929.30917908	-21930.12689478	-21961.19090524	
25053	-21930.6027049	-21929.78536671	-21960.7533115	
25054	-21930.18580963	-21929.36771805	-21962.69073956	
25055	-21929.36771805	-21930.18580963	-21962.69073956	
25056	-21929.7379059	-21930.55614533	-21966.63580836	
25057	-21929.7379059	-21930.55614533	-21966.63580836	
25058	-21929.7379059	-21930.55614533	-21971.16169452	
25059	-21929.7379059	-21930.55614533	-21971.16169452	
25060	-21931.12675882	-21930.30841195	-21972.89073994	
25061	-21930.91707865	-21930.09876359	-21972.28915599	
25062	-21930.95806084	-21935.38469415	-21936.71838785	
25063	-21930.11316412	-21929.29542958	-21935.20960922	
25064	-21930.63471699	-21939.54402417	-21955.54634557	
25065	-21930.63471699	-21939.54402417	-21955.54634557	
25066	-21930.63471699	-21939.54402417	-21955.54634557	
25067	-21930.34229446	-21940.38387413	-21958.65065974	
