Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
3515	3	3	1	2
3521	3	2	1	2
3522	3	2	1	3
3523	1	1	1	2
3524	3	4	1	3
3526	3	8	2	1
3534	2	2	2	1
3535	2	2	2	1
3539	3	7	1	2
3540	3	4	1	2
3541	3	2	1	2
3542	3	2	1	2
3545	1	1	2	1
3546	3	7	2	1
3549	2	2	1	2
3551	2	2	1	2
3556	2	2	1	2
3558	2	2	1	2
3562	3	3	1	2
3564	3	2	1	2
3565	2	2	1	2
3571	1	1	1	3
3573	1	1	2	1
3577	2	2	1	2
3581	2	2	1	2
3583	3	3	1	2
3585	2	2	2	1
3587	1	1	2	1
3588	3	3	1	2
3592	1	1	1	2
3595	2	2	1	2
3604	2	2	1	2
3612	1	1	1	2
3616	2	2	1	3
3617	2	2	2	1
3621	2	2	1	3
3625	3	7	1	2
3630	2	2	1	2
3631	2	2	1	2
3634	2	2	1	2
3635	1	1	1	2
3639	2	2	2	1
3640	3	8	2	1
3644	3	3	2	1
3646	1	1	1	2
3649	3	7	1	2
3650	2	2	2	1
3651	2	2	1	2
3652	1	1	1	2
3653	2	2	1	2
3661	3	4	1	2
3663	1	1	1	3
3667	2	2	1	2
3668	3	1	1	2
3670	1	1	1	3
3681	3	2	1	2
3682	1	1	1	2
3683	3	2	1	2
3687	3	3	1	2
3689	1	1	2	1
3691	2	2	1	2
3697	1	1	1	2
3699	3	4	1	2
3700	1	1	2	1
3702	2	2	1	2
3703	2	2	1	2
3713	2	2	1	2
3714	3	6	2	1
3716	3	7	1	2
3719	3	3	2	1
3720	1	1	1	2
3721	2	2	1	2
3724	2	2	1	2
3726	3	3	2	1
3727	3	7	1	2
3728	2	2	2	1
3729	1	1	1	2
3733	2	2	2	1
3734	1	1	2	1
3748	1	1	1	2
3753	1	1	1	2
3754	1	1	1	3
3756	1	1	2	1
3762	3	3	1	2
3765	2	2	1	2
3766	3	6	2	1
3768	1	1	1	2
3769	1	1	1	2
3770	1	1	1	2
3774	3	7	1	2
3781	1	1	1	2
3782	1	1	1	2
3783	2	2	2	1
3792	3	4	1	2
3806	1	1	1	2
3809	1	1	1	2
3815	2	2	1	2
3817	3	2	1	3
3818	3	6	1	3
3823	3	1	1	2
3825	3	2	2	1
3828	2	2	1	2
3839	2	2	3	1
3840	3	6	2	1
3841	3	2	1	2
3842	1	1	1	2
3845	3	4	1	2
3846	3	7	1	2
3847	3	2	1	2
3849	1	1	1	2
3853	3	4	1	2
3854	3	4	1	2
3859	2	2	2	1
3861	1	1	1	2
3867	2	2	2	1
3877	3	3	1	2
