Sweep	Chain_1	Chain_2	Chain_3	
21508	-21950.62049198	-21946.02880328	-21967.3719748	
21509	-21946.02880328	-21947.35524686	-21961.50278532	
21510	-21947.42371346	-21946.39126782	-21963.04971163	
21511	-21948.86252123	-21947.13724264	-21960.99219033	
21512	-21947.13724264	-21948.86252123	-21960.99219033	
21513	-21946.5922972	-21947.54311341	-21963.57884341	
21514	-21946.5922972	-21947.54311341	-21961.69563408	
21515	-21946.5922972	-21947.54311341	-21970.47146565	
21516	-21947.62446287	-21946.15187966	-21949.89226894	
21517	-21947.62446287	-21946.15187966	-21947.62446287	
21518	-21946.49466962	-21946.49466962	-21959.85588841	
21519	-21948.55297905	-21948.55297905	-21964.89033684	
21520	-21946.62086358	-21946.62086358	-21959.8061763	
21521	-21946.62086358	-21946.62086358	-21959.8061763	
21522	-21946.62086358	-21946.62086358	-21959.8061763	
21523	-21946.62086358	-21965.70766965	-21962.72245461	
21524	-21947.80845666	-21958.66614569	-21969.00701209	
21525	-21947.80845666	-21958.66614569	-21969.00701209	
21526	-21950.01798833	-21967.68505926	-21959.41665337	
21527	-21948.20020758	-21946.27812152	-21961.91388764	
21528	-21948.6196424	-21950.90094099	-21958.15473623	
21529	-21948.36829891	-21951.2913457	-21959.19287153	
21530	-21947.96423884	-21951.1361522	-21964.66148041	
21531	-21948.13193706	-21961.09153468	-21954.08587796	
21532	-21948.13193706	-21958.44362048	-21962.46763819	
21533	-21948.13193706	-21971.8925246	-21972.2219499	
21534	-21956.1729217	-21962.60673209	-21972.2219499	
21535	-21948.13193706	-21956.0085873	-21951.91824114	
21536	-21948.13193706	-21951.88324284	-21956.81624825	
21537	-21947.43979459	-21950.85311258	-21955.11057346	
21538	-21947.43979459	-21951.32048324	-21957.94728483	
21539	-21947.68133711	-21950.61309318	-21957.23514344	
21540	-21947.68133711	-21950.97458819	-21954.23939902	
21541	-21947.68133711	-21949.36198226	-21967.06340913	
21542	-21949.36198226	-21947.68133711	-21967.06340913	
21543	-21948.26965277	-21951.67524186	-21973.7049528	
21544	-21948.26965277	-21951.67524186	-21973.7049528	
21545	-21948.26965277	-21951.67524186	-21973.7049528	
21546	-21948.26965277	-21951.67524186	-21973.7049528	
21547	-21949.96201979	-21947.39942343	-21969.87970624	
21548	-21947.39942343	-21949.96201979	-21969.87970624	
21549	-21947.42219879	-21949.96001573	-21953.59283163	
21550	-21949.96001573	-21947.42219879	-21953.59283163	
21551	-21948.2611565	-21950.28992492	-21953.92047823	
21552	-21948.2611565	-21950.28992492	-21953.92047823	
21553	-21947.3096415	-21950.26256345	-21953.89652908	
21554	-21947.3096415	-21949.8801307	-21957.36444093	
21555	-21947.3096415	-21947.3096415	-21961.89726933	
21556	-21947.3096415	-21947.3096415	-21961.89726933	
21557	-21947.35622429	-21947.35622429	-21962.24888622	
21558	-21946.26022801	-21947.35622429	-21964.39358351	
21559	-21946.60322299	-21947.35622429	-21967.48347301	
21560	-21946.60322299	-21947.35622429	-21967.48347301	
21561	-21947.35622429	-21946.60322299	-21967.48347301	
21562	-21951.24280766	-21947.35622429	-21971.3429337	
21563	-21951.24280766	-21947.35622429	-21971.3429337	
21564	-21946.9026969	-21951.45276587	-21947.52285239	
21565	-21946.9026969	-21947.52285239	-21951.45276587	
21566	-21947.04582376	-21947.61353986	-21951.64854798	
21567	-21947.04582376	-21947.61353986	-21951.64854798	
21568	-21947.04582376	-21948.62659044	-21958.39179078	
21569	-21947.04582376	-21951.17109667	-21960.3199955	
21570	-21948.07926043	-21957.44033748	-21964.27166218	
21571	-21952.12151894	-21953.52145304	-21952.61591214	
21572	-21952.12151894	-21953.52145304	-21952.61591214	
21573	-21952.53044322	-21953.52145304	-21953.52145304	
21574	-21947.5855009	-21953.59285214	-21962.99942602	
21575	-21947.5855009	-21952.55004566	-21968.73664818	
21576	-21947.5855009	-21952.55004566	-21968.73664818	
21577	-21947.5855009	-21952.55004566	-21968.73664818	
21578	-21947.5855009	-21948.23141545	-21963.63565125	
21579	-21953.88536112	-21951.60922542	-21976.91138282	
21580	-21948.73503396	-21948.26082179	-21963.58449448	
21581	-21951.69827647	-21947.10115756	-21961.44815599	
21582	-21947.10115756	-21951.69827647	-21961.44815599	
21583	-21947.10115756	-21950.98804022	-21968.87052909	
21584	-21947.10115756	-21950.98804022	-21968.87052909	
21585	-21947.20777491	-21953.20981101	-21947.20777491	
21586	-21947.20777491	-21949.13178305	-21960.71912011	
21587	-21947.58648842	-21949.51059251	-21961.4146839	
21588	-21946.08540347	-21946.08540347	-21955.21190153	
21589	-21950.03319954	-21954.01611775	-21953.58162861	
21590	-21946.06723235	-21949.99502774	-21965.65543091	
21591	-21946.06723235	-21949.99502774	-21965.65543091	
21592	-21950.22749769	-21954.15699199	-21954.26101079	
21593	-21950.22749769	-21954.15699199	-21954.26101079	
21594	-21946.41006845	-21946.06723235	-21959.19052016	
21595	-21946.06723235	-21946.41006845	-21959.19052016	
21596	-21946.06723235	-21950.92572111	-21947.98984562	
21597	-21946.79835265	-21946.45532754	-21960.15301676	
21598	-21946.53561295	-21946.19284005	-21958.72164432	
21599	-21946.53561295	-21965.41392256	-21954.29303913	
21600	-21946.53561295	-21965.41392256	-21954.29303913	
21601	-21946.43055674	-21954.75321372	-21966.72232004	
21602	-21947.30182338	-21949.54082665	-21966.67936122	
21603	-21947.30182338	-21950.16964328	-21964.40035272	
21604	-21948.20947807	-21951.05904827	-21958.63456328	
21605	-21947.36848407	-21950.87317058	-21950.78772563	
21606	-21947.36848407	-21950.78772563	-21950.87317058	
21607	-21947.36848407	-21946.28594703	-21954.97392692	
21608	-21947.74613484	-21950.28979851	-21961.60678688	
21609	-21951.35439884	-21950.09554491	-21969.60897399	
21610	-21950.39935559	-21946.54191421	-21958.73807205	
21611	-21946.54191421	-21950.39935559	-21958.73807205	
21612	-21946.19893233	-21946.54191421	-21950.92332604	
21613	-21946.19893233	-21946.54191421	-21962.88822805	
21614	-21946.05214913	-21950.92898406	-21974.91045172	
21615	-21946.05214913	-21950.92898406	-21974.91045172	
21616	-21946.05214913	-21947.97483082	-21951.40886034	
21617	-21946.04711452	-21947.97021092	-21958.9606604	
21618	-21946.29378817	-21951.03782912	-21946.63678936	
21619	-21946.29378817	-21954.77992894	-21958.62613671	
21620	-21946.29378817	-21954.77992894	-21958.62613671	
21621	-21946.3973194	-21951.31493888	-21959.94669156	
21622	-21946.80258522	-21946.4598979	-21950.53545693	
21623	-21946.80258522	-21954.12481867	-21959.40193537	
21624	-21946.80258522	-21956.66461647	-21958.76787583	
21625	-21949.80833433	-21953.07436812	-21958.86858242	
21626	-21946.09733582	-21949.80833433	-21950.32723784	
21627	-21946.2285041	-21950.26540607	-21950.78456938	
21628	-21946.2285041	-21948.15197203	-21954.77762751	
21629	-21948.57688258	-21950.501146	-21958.5608391	
21630	-21947.04717737	-21948.97113485	-21956.22874171	
21631	-21946.06778265	-21947.99095931	-21954.37108785	
21632	-21946.06778265	-21947.99095931	-21954.37108785	
21633	-21947.99095931	-21946.06778265	-21954.37108785	
21634	-21947.99095931	-21952.67028964	-21959.1332816	
21635	-21947.99095931	-21952.67028964	-21959.1332816	
21636	-21948.32849171	-21948.32849171	-21955.21426965	
21637	-21948.32849171	-21948.32849171	-21955.21426965	
21638	-21948.47077506	-21948.47077506	-21955.47381446	
21639	-21947.64702457	-21948.08876444	-21962.75166743	
21640	-21947.64702457	-21952.55018249	-21966.55419815	
21641	-21947.64702457	-21952.55018249	-21966.55419815	
21642	-21947.64702457	-21958.77805283	-21953.41447079	
21643	-21948.08876444	-21958.79808109	-21957.97731469	
21644	-21948.08876444	-21947.64702457	-21974.96777363	
21645	-21948.08876444	-21947.64702457	-21974.96777363	
21646	-21948.05668977	-21949.26890723	-21977.71272703	
21647	-21949.26890723	-21948.05668977	-21977.71272703	
21648	-21948.01097376	-21946.77315129	-21963.52891611	
21649	-21946.66157045	-21947.86402286	-21963.49000104	
21650	-21952.6601051	-21950.46242452	-21958.32618354	
21651	-21946.49739354	-21955.00603018	-21959.45540335	
21652	-21946.49739354	-21955.00603018	-21959.45540335	
21653	-21946.49739354	-21959.45540335	-21955.00603018	
21654	-21946.49739354	-21954.66606245	-21960.03111472	
21655	-21946.88695681	-21955.24805485	-21960.99598674	
21656	-21947.81995929	-21956.433529	-21964.58686028	
21657	-21947.316897	-21954.52797525	-21961.74479877	
21658	-21947.316897	-21954.52797525	-21961.74479877	
21659	-21950.53764906	-21947.316897	-21950.71063923	
21660	-21947.316897	-21950.53764906	-21950.71063923	
21661	-21950.53210038	-21947.32435693	-21950.69213835	
21662	-21947.32435693	-21950.53210038	-21950.69213835	
21663	-21947.7552209	-21947.25853202	-21973.9591259	
21664	-21947.25853202	-21947.7552209	-21973.9591259	
21665	-21947.25853202	-21947.7552209	-21973.9591259	
21666	-21947.7552209	-21947.25853202	-21973.9591259	
21667	-21948.03601896	-21947.65916628	-21975.08101731	
21668	-21947.32764272	-21946.53615373	-21971.45947014	
21669	-21948.11659611	-21955.23130302	-21958.54890992	
21670	-21946.53615373	-21957.05542097	-21958.54890992	
21671	-21946.37363162	-21956.54673769	-21957.86796607	
21672	-21946.71207976	-21948.29267348	-21954.62346826	
21673	-21947.98646256	-21946.40623471	-21953.91799439	
21674	-21947.30433746	-21951.47216834	-21953.91799439	
21675	-21946.93740277	-21948.51812259	-21955.03445348	
21676	-21947.42149155	-21946.73027324	-21968.73718975	
21677	-21946.38556431	-21947.31522279	-21955.50901425	
21678	-21946.99562581	-21947.58121735	-21956.81154678	
21679	-21948.46790898	-21948.24842741	-21958.79882646	
21680	-21948.72038931	-21953.68484023	-21962.63410513	
21681	-21947.96778172	-21947.96778172	-21958.9851649	
21682	-21947.96778172	-21952.14140751	-21968.75852894	
21683	-21947.96778172	-21952.14140751	-21956.36583283	
21684	-21952.14140751	-21947.96778172	-21956.36583283	
21685	-21947.10211446	-21951.01922258	-21954.98709667	
21686	-21947.10211446	-21951.01922258	-21954.98709667	
21687	-21946.41637656	-21946.41637656	-21961.88819613	
21688	-21946.41637656	-21946.41637656	-21961.88819613	
21689	-21946.51538745	-21950.3393069	-21959.45710956	
21690	-21946.38944433	-21950.31505967	-21959.63668244	
21691	-21946.38944433	-21958.61543062	-21961.90073391	
21692	-21946.38944433	-21952.1875517	-21959.6077555	
21693	-21946.38944433	-21950.94238487	-21963.86442999	
21694	-21946.38944433	-21950.94238487	-21963.86442999	
21695	-21946.38944433	-21959.00803981	-21964.65709738	
21696	-21946.38944433	-21950.6077392	-21952.20076955	
21697	-21946.38944433	-21950.6077392	-21952.20076955	
21698	-21946.38944433	-21950.6077392	-21952.20076955	
21699	-21946.38944433	-21950.6077392	-21963.92402854	
21700	-21955.35780835	-21946.38944433	-21952.67873481	
21701	-21950.77401324	-21948.45386582	-21966.65897156	
21702	-21946.53219525	-21952.60011564	-21966.65897156	
21703	-21946.29827466	-21955.03416242	-21972.32797561	
21704	-21946.29827466	-21950.36467102	-21962.87039199	
21705	-21946.29827466	-21951.4063632	-21955.03152827	
21706	-21946.10245237	-21951.30932464	-21955.03297654	
21707	-21946.10245237	-21954.40609928	-21960.51674536	
21708	-21946.10245237	-21954.40609928	-21960.51674536	
21709	-21946.36966202	-21958.2297512	-21965.76264551	
21710	-21946.36966202	-21950.70596405	-21970.4454598	
21711	-21946.36966202	-21946.36966202	-21962.12193947	
21712	-21946.36966202	-21946.36966202	-21960.85101696	
21713	-21946.07048944	-21946.07048944	-21959.42951496	
21714	-21950.52390151	-21950.00021156	-21967.7532595	
21715	-21946.13358794	-21950.25273829	-21962.61058056	
21716	-21946.16612444	-21954.64877692	-21958.34172413	
21717	-21947.03828579	-21947.83972888	-21961.78531242	
