Sweep	g
836	926.721
837	926.721
838	580.212
839	356.375
840	356.375
841	1681.78
842	1681.78
843	1681.78
844	684.737
845	611.933
846	3237.91
847	1880.01
848	819.941
849	1744.39
850	1744.39
851	1744.39
852	1744.39
853	1744.39
854	1744.39
855	1744.39
856	1744.39
857	1528.14
858	1738.33
859	1738.33
860	1738.33
861	2485.67
862	2485.67
863	2485.67
864	2485.67
865	3983.96
866	1128.1
867	1128.1
868	1128.1
869	1919.55
870	1058.04
871	1058.04
872	1058.04
873	1058.04
874	1080.54
875	2089.23
876	934.426
877	934.426
878	1042.3
879	1174.41
880	1629.67
881	1629.67
882	1629.67
883	1629.67
884	1629.67
885	1629.67
886	1088.33
887	1088.33
888	955.06
889	955.06
890	955.06
891	955.06
892	2398.77
893	865.773
894	2904.41
895	1044.42
896	1044.42
897	1044.42
898	1044.42
899	1044.42
900	1044.42
901	1044.42
902	1044.42
903	1044.42
904	1044.42
905	952.852
906	952.852
907	952.852
908	952.852
909	1216.89
910	1192.45
911	1192.45
912	1545.25
913	3860.26
914	827.739
915	827.739
916	827.739
917	978.731
918	978.731
919	978.731
920	978.731
921	1696.01
922	1844.79
923	1844.79
924	1844.79
925	1478.48
926	1478.48
927	1478.48
928	1652.01
929	1652.01
930	897.26
931	897.26
932	2104.89
933	900.372
934	900.372
935	900.372
936	900.372
937	900.372
938	900.372
939	3124.21
940	3124.21
941	3520.74
942	2681.05
943	2681.05
944	2681.05
945	815.762
946	994.215
947	994.215
948	994.215
949	994.215
950	1267.37
951	1160.23
952	1160.23
953	2522.85
954	1512.18
955	1512.18
956	1634.96
957	1634.96
958	1725.72
959	1725.72
960	1725.72
961	1725.72
962	2949.62
963	2949.62
964	2949.62
965	2820.58
966	4040.68
967	2101.53
968	2101.53
969	2101.53
970	2350.29
971	2062.28
972	2062.28
973	2062.28
974	2062.28
975	2062.28
976	1709.88
977	1174.39
978	641.181
979	853.697
980	717.472
981	2141.94
982	2206.45
983	2206.45
984	2206.45
985	2428.03
986	2428.03
987	4260.55
988	4260.55
989	1070.22
990	1831.45
991	2121.51
992	1515.23
993	2954.1
994	2778.54
995	941.369
996	722.784
997	722.784
998	722.784
999	2414.17
1000	2414.17
1001	2258.66
1002	2258.66
1003	2258.66
1004	2258.66
1005	946.067
1006	946.067
1007	946.067
1008	946.067
1009	1558.49
1010	1558.49
1011	2528.96
1012	1187.9
1013	1187.9
1014	1962.63
1015	1962.63
1016	884.477
1017	2207.93
1018	918.322
1019	918.322
1020	918.322
1021	1548.01
1022	945.901
1023	945.901
1024	1901.01
1025	1138.64
1026	1138.64
1027	1138.64
1028	1138.64
1029	1138.64
1030	1618.29
1031	1618.29
1032	647.594
1033	1301.45
1034	988.704
1035	988.704
1036	1350.75
1037	1322
1038	1527.48
1039	1527.48
1040	1110.14
1041	1110.14
1042	1110.14
1043	1110.14
1044	1613.17
1045	1613.17
1046	2041.51
1047	2041.51
1048	2041.51
1049	2041.51
1050	2041.51
1051	2041.51
1052	2041.51
1053	2041.51
1054	2041.51
1055	1753.81
1056	1753.81
1057	937.263
1058	566.938
1059	2382.16
1060	2382.16
1061	1578.9
1062	986.539
1063	1345.86
1064	1345.86
1065	1417.85
1066	1417.85
1067	1514.32
1068	1514.32
1069	1444.97
1070	1444.97
1071	1444.97
1072	2183
1073	637.158
1074	637.158
1075	2849.64
1076	2849.64
1077	521.72
1078	1826.97
1079	883.869
1080	1029.17
1081	1029.17
1082	1576.5
1083	1064.62
1084	1064.62
1085	1064.62
1086	1064.62
1087	1064.62
1088	1778.72
1089	1255.4
1090	1255.4
1091	4569.52
1092	565.276
1093	565.276
1094	565.276
1095	565.276
1096	565.276
1097	1454.42
1098	1454.42
1099	1454.42
1100	669.229
1101	669.229
1102	627.002
1103	651.889
1104	623.151
1105	1373.51
1106	595.375
1107	6430.34
1108	1129.92
1109	1129.92
1110	668.696
1111	1046.56
1112	1716.73
1113	1541.29
1114	1551.13
1115	1551.13
1116	1551.13
1117	1223.59
1118	1160.62
1119	1160.62
1120	983.053
1121	983.053
1122	1812.35
1123	1075.64
1124	768.867
1125	768.867
1126	2590.05
1127	2590.05
1128	1204.8
1129	1204.8
1130	1204.8
1131	1188.09
1132	1503.97
1133	1503.97
1134	1503.97
1135	1919.61
1136	1919.61
1137	1491.62
1138	2034.67
