Sweep	Move_type	nBreakpoints	Chain_l	Chain_r
1457	2	2	1	2
1460	3	3	1	2
1463	1	1	2	1
1464	1	1	1	2
1468	2	2	1	2
1472	3	5	1	2
1475	3	2	2	3
1477	3	4	1	2
1478	1	1	1	2
1481	3	5	1	2
1484	1	1	1	2
1485	1	1	1	2
1491	1	1	2	1
1493	2	2	1	2
1494	1	1	2	3
1495	1	1	3	1
1500	1	1	1	3
1502	1	1	1	3
1503	3	3	1	3
1508	3	2	2	1
1509	2	2	1	2
1512	3	3	1	2
1516	3	5	2	3
1522	2	2	3	1
1524	3	5	1	2
1526	3	5	1	3
1530	2	2	2	1
1531	1	1	2	1
1532	1	1	1	2
1533	3	4	2	1
1534	3	3	1	2
1535	2	2	1	2
1537	1	1	1	3
1539	1	1	2	1
1540	1	1	1	2
1541	1	1	1	2
1542	2	2	2	1
1543	3	5	2	1
1544	1	1	1	2
1547	1	1	2	1
1549	2	2	2	1
1551	3	5	2	1
1552	1	1	1	2
1557	3	3	1	3
1559	2	2	2	1
1560	1	1	3	1
1562	1	1	1	3
1563	2	2	2	3
1565	2	2	1	3
1570	2	2	2	1
1572	2	2	2	1
1580	1	1	1	2
1585	1	1	1	2
1587	3	2	2	1
1590	3	1	1	3
1593	2	2	1	3
1596	2	2	3	1
1597	2	2	3	1
1599	1	1	3	1
1600	2	2	3	1
1603	1	1	1	2
1604	1	1	1	2
1607	1	1	1	2
1608	1	1	2	1
1609	1	1	2	1
1610	2	2	2	1
1611	1	1	2	1
1612	3	2	1	2
1613	2	2	1	2
1615	3	1	1	2
1617	1	1	1	3
1619	3	5	1	3
1620	3	5	2	3
1622	3	3	1	2
1627	1	1	1	2
1628	2	2	2	1
1630	3	2	1	2
1631	2	2	1	3
1632	1	1	1	2
1635	1	1	2	1
1636	1	1	1	2
1639	2	2	1	2
1642	2	2	1	2
1644	3	2	2	1
1646	2	2	1	3
1648	2	2	2	1
1650	3	3	1	2
1652	1	1	1	2
1653	3	1	2	1
1654	3	2	2	1
1657	1	1	3	1
1658	2	2	1	3
1659	1	1	1	3
1663	2	2	1	2
1671	2	2	2	1
1672	3	2	2	1
1675	1	1	1	2
1676	3	1	1	2
1681	1	1	3	1
1682	1	1	1	3
1684	1	1	1	2
1685	3	3	2	1
1687	3	2	1	2
1690	3	2	1	3
1692	3	2	2	1
1693	1	1	2	1
1696	3	3	2	1
1697	3	4	2	1
1700	2	2	2	1
1709	3	3	1	2
1710	2	2	3	1
1712	3	4	1	2
1714	2	2	1	3
1724	2	2	1	2
1725	2	2	1	2
1727	3	3	1	3
1731	2	2	2	1
1735	2	2	1	2
1738	1	1	1	2
1740	2	2	2	1
1743	2	2	2	1
1745	1	1	2	1
1752	3	2	1	2
1755	1	1	1	2
1757	3	2	1	2
1760	1	1	1	2
1766	3	3	2	1
1767	2	2	2	1
1768	3	2	1	2
1769	1	1	2	1
1772	3	2	1	2
1774	1	1	1	2
1779	3	2	1	3
1785	3	2	1	2
1790	2	2	1	2
1791	1	1	2	1
1792	3	3	1	2
1796	2	2	1	3
1797	2	2	1	2
1804	2	2	2	1
1807	3	5	1	2
1808	1	1	2	1
1810	2	2	1	3
1818	3	3	1	2
1820	3	3	1	2
1823	1	1	1	2
1825	1	1	2	1
1827	1	1	2	1
1828	3	2	2	1
1829	3	2	1	2
1830	3	2	2	1
1834	2	2	1	2
1835	1	1	1	2
1836	2	2	1	2
